# Run complete. Total time: 00:07:22

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                      (bits)  (padding)          (scenario)  (seed)   (size)   Mode  Cnt     Score    Error  Units
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7             UNIFORM       0  1000000  thrpt    5    29,190 ±  0,565  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7          CONTIGUOUS       0  1000000  thrpt    5  1558,047 ± 18,711  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   622,558 ±  5,604  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    56,790 ±  0,049  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7              SORTED       0  1000000  thrpt    5    17,130 ±  0,119  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7       ALMOST_SORTED       0  1000000  thrpt    5    41,138 ±  0,427  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7                 EXP       0  1000000  thrpt    5    29,344 ±  0,493  ops/s

RadixSortBenchmark.dpqs21_04RadixSort                              23          7             UNIFORM       0  1000000  thrpt    5    71,135 ±  0,799  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7          CONTIGUOUS       0  1000000  thrpt    5    23,867 ±  0,247  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    23,897 ±  0,305  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    23,763 ±  0,545  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7              SORTED       0  1000000  thrpt    5    71,036 ±  1,119  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7       ALMOST_SORTED       0  1000000  thrpt    5    71,170 ±  0,973  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7                 EXP       0  1000000  thrpt    5    70,128 ±  0,601  ops/s

RadixSortBenchmark.dpqs21_04RadixSort2                             23          7             UNIFORM       0  1000000  thrpt    5    81,836 ±  1,268  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7          CONTIGUOUS       0  1000000  thrpt    5    24,184 ±  0,388  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    24,027 ±  0,044  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    23,951 ±  0,668  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7              SORTED       0  1000000  thrpt    5    81,736 ±  1,569  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7       ALMOST_SORTED       0  1000000  thrpt    5    82,287 ±  0,084  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7                 EXP       0  1000000  thrpt    5    76,072 ±  0,177  ops/s

RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7             UNIFORM       0  1000000  thrpt    5    80,972 ±  2,737  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7          CONTIGUOUS       0  1000000  thrpt    5    24,069 ±  0,312  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    24,237 ±  0,241  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    23,816 ±  0,666  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7              SORTED       0  1000000  thrpt    5    81,173 ±  1,849  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7       ALMOST_SORTED       0  1000000  thrpt    5    80,420 ±  1,192  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7                 EXP       0  1000000  thrpt    5    73,537 ±  1,425  ops/s
