Test[UNIFORM | DPQS_2105| M=1073741824] elapsed: 19051.453937 ms, reference: 192580.17539699998 ms
Test[CONTIGUOUS | DPQS_2105| M=1073741824] elapsed: 2239.492017 ms, reference: 2714.607204 ms
Test[CONTIGUOUS_REVERSE | DPQS_2105| M=1073741824] elapsed: 3078.6313999999998 ms, reference: 3187.20406 ms
Test[ALMOST_CONTIGUOUS | DPQS_2105| M=1073741824] elapsed: 1834.268044 ms, reference: 29194.242342999998 ms
Test[SORTED | DPQS_2105| M=1073741824] elapsed: 81893.048681 ms, reference: 78250.02932999999 ms

Test[UNIFORM | DPQS_2105_LowMem| M=1073741824] elapsed: 190652.91150299998 ms, reference: 188484.425583 ms
Test[CONTIGUOUS | DPQS_2105_LowMem| M=1073741824] elapsed: 2523.925739 ms, reference: 2394.223844 ms
Test[CONTIGUOUS_REVERSE | DPQS_2105_LowMem| M=1073741824] elapsed: 3204.499174 ms, reference: 1658.753455 ms
Test[ALMOST_CONTIGUOUS | DPQS_2105_LowMem| M=1073741824] elapsed: 1645.488208 ms, reference: 28835.713495 ms
Test[SORTED | DPQS_2105_LowMem| M=1073741824] elapsed: 122931.389854 ms, reference: 78380.92023 ms
